drug_id	protein_id	protein_moniker	reference
HMSL10194	P10721	KIT_HUMAN	kegg
HMSL10195			
HMSL10196			
HMSL10197			
HMSL10198	P00533	EGFR_HUMAN	kegg
HMSL10198	P35968	VGFR2_HUMAN	kegg
HMSL10199			
HMSL10200			
HMSL10201			
HMSL10203			
HMSL10204			
HMSL10205			
HMSL10206			
HMSL10207			
HMSL10208			
HMSL10209			
HMSL10210			
HMSL10211			
HMSL10212			
HMSL10213			
HMSL10214			
HMSL10215			
HMSL10216			
HMSL10217			
HMSL10218			
HMSL10219			
HMSL10220			
HMSL10221			
HMSL10222	P00533	EGFR_HUMAN	kegg
HMSL10222	P04626	ERBB2_HUMAN	kegg
HMSL10222	Q15303	ERBB4_HUMAN	kegg
HMSL10223			
HMSL10224			
HMSL10225	P17948	VGFR1_HUMAN	kegg
HMSL10225	L7RSL3	L7RSL3_HUMAN	kegg
HMSL10225	P35916	VGFR3_HUMAN	kegg
HMSL10225	P09619	PGFRB_HUMAN	kegg
HMSL10225	Q59F04	Q59F04_HUMAN	kegg
HMSL10225	P11362	FGFR1_HUMAN	kegg
HMSL10226	P52333	JAK3_HUMAN	kegg
HMSL10227			
HMSL10228			
HMSL10229			
HMSL10230	P36888	FLT3_HUMAN	kegg
HMSL10230	O60674	JAK2_HUMAN	kegg
HMSL10230	P04629	NTRK1_HUMAN	kegg
HMSL10231			
HMSL10232			
HMSL10233			
HMSL10234			
HMSL10235	P42345	MTOR_HUMAN	kegg
HMSL10236			
HMSL10237	P04818	TYSY_HUMAN	kegg
HMSL10237	Q53Y97	Q53Y97_HUMAN	kegg
HMSL10238	P04818	TYSY_HUMAN	kegg
HMSL10238	Q53Y97	Q53Y97_HUMAN	kegg
HMSL10239			
HMSL10240			
HMSL10241	P20618	PSB1_HUMAN	kegg
HMSL10241	P28074	PSB5_HUMAN	kegg
HMSL10242			
HMSL10243			
HMSL10244			
HMSL10245			
HMSL10246	P11387	TOP1_HUMAN	kegg
HMSL10247	Q13509	TBB3_HUMAN	kegg
HMSL10247	A8K854	A8K854_HUMAN	kegg
HMSL10247	Q53G92	Q53G92_HUMAN	kegg
HMSL10247	Q9BUF5	TBB6_HUMAN	kegg
HMSL10248	P11388	TOP2A_HUMAN	kegg
HMSL10248	Q02880	TOP2B_HUMAN	kegg
HMSL10248	Q59H80	Q59H80_HUMAN	kegg
HMSL10249	P11388	TOP2A_HUMAN	kegg
HMSL10249	Q02880	TOP2B_HUMAN	kegg
HMSL10249	Q59H80	Q59H80_HUMAN	kegg
HMSL10250	P11388	TOP2A_HUMAN	kegg
HMSL10250	Q02880	TOP2B_HUMAN	kegg
HMSL10250	Q59H80	Q59H80_HUMAN	kegg
HMSL10251			
HMSL10252	P23921	RIR1_HUMAN	kegg
HMSL10253			
HMSL10255			
HMSL10257			
HMSL10258	P14324	FPPS_HUMAN	kegg
HMSL10258	E9PCI9	P14324	FPPS_HUMAN	reviewed	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	FDPS FPS KIAA1293	Homo sapiens (Human)	419	kegg
HMSL10259			
HMSL10260	P52732	KIF11_HUMAN	kegg
HMSL10261			
HMSL10262			
HMSL10263	Q13547	HDAC1_HUMAN	kegg
HMSL10263	Q6IT96	Q6IT96_HUMAN	kegg
HMSL10263	Q969S8	HDA10_HUMAN	kegg
HMSL10264	P00374	DYR_HUMAN	kegg
HMSL10264	B0YJ76	B0YJ76_HUMAN	kegg
HMSL10264	Q86XF0	DYRL1_HUMAN	kegg
HMSL10265			
HMSL10266			
HMSL10267			
HMSL10268			
HMSL10269			
HMSL10270			
HMSL10271			
HMSL10272	P22102	PUR2_HUMAN	kegg
HMSL10272	Q59HH3	Q59HH3_HUMAN	kegg
HMSL10272	P04818	TYSY_HUMAN	kegg
HMSL10272	Q53Y97	Q53Y97_HUMAN	kegg
HMSL10273			
HMSL10274			
HMSL10275	P03372	ESR1_HUMAN	kegg
HMSL10275	G4XH65	G4XH65_HUMAN	kegg
HMSL10275	Q9UBT1	Q9UBT1_HUMAN	kegg
HMSL10275	Q92731	ESR2_HUMAN	kegg
HMSL10275	F1D8N3	F1D8N3_HUMAN	kegg
HMSL10275	G3V5M5	G3V5M5_HUMAN	kegg
HMSL10275	Q0PTK2	Q0PTK2_HUMAN	kegg
HMSL10275	Q7LCB3	Q7LCB3_HUMAN	kegg
HMSL10276			
HMSL10277	P42345	MTOR_HUMAN	kegg
HMSL10278	P11387	TOP1_HUMAN	kegg
HMSL10279			
HMSL10280			
HMSL10281	Q13509	TBB3_HUMAN	kegg
HMSL10281	A8K854	A8K854_HUMAN	kegg
HMSL10281	Q53G92	Q53G92_HUMAN	kegg
HMSL10281	Q9BUF5	TBB6_HUMAN	kegg
HMSL10282	Q13547	HDAC1_HUMAN	kegg
HMSL10282	Q6IT96	Q6IT96_HUMAN	kegg
HMSL10282	Q92769	HDAC2_HUMAN	kegg
HMSL10282	O15379	HDAC3_HUMAN	kegg
HMSL10282	Q9UBN7	HDAC6_HUMAN	kegg
HMSL10283			
HMSL10284	P15056	BRAF_HUMAN	kegg
HMSL10285			
HMSL10286			
HMSL10287	P06493	CDK1_HUMAN	kegg
HMSL10287	B7Z3D6	B7Z3D6_HUMAN	kegg
HMSL10287	I6L9I5	I6L9I5_HUMAN	kegg
HMSL10287	P24941	CDK2_HUMAN	kegg
HMSL10287	Q00535	CDK5_HUMAN	kegg
HMSL10287	P50750	CDK9_HUMAN	kegg
HMSL10288			
HMSL10289			
HMSL10290			
HMSL10291			
HMSL10292			
HMSL10293			
HMSL10294			
HMSL10295			
HMSL10296			
HMSL10297			
HMSL10298			
HMSL10299			
HMSL10300	P26358	DNMT1_HUMAN	kegg
HMSL10300	I6L9H2	I6L9H2_HUMAN	kegg
HMSL10300	Q9UJW3	DNM3L_HUMAN	kegg
HMSL10301	P26358	DNMT1_HUMAN	kegg
HMSL10301	I6L9H2	I6L9H2_HUMAN	kegg
HMSL10301	Q9UJW3	DNM3L_HUMAN	kegg
HMSL10302			
HMSL10303	P09874	PARP1_HUMAN	kegg
HMSL10304	P09874	PARP1_HUMAN	kegg
HMSL10304	Q9UKK3	PARP4_HUMAN	kegg
HMSL10305			
HMSL10306			
HMSL10307			
HMSL10308			
HMSL10309			
HMSL10310	Q13547	HDAC1_HUMAN	kegg
HMSL10310	Q6IT96	Q6IT96_HUMAN	kegg
HMSL10310	Q969S8	HDA10_HUMAN	kegg
HMSL10311	Q13547	HDAC1_HUMAN	kegg
HMSL10311	Q6IT96	Q6IT96_HUMAN	kegg
HMSL10311	O15379	HDAC3_HUMAN	kegg
HMSL10312	Q13547	HDAC1_HUMAN	kegg
HMSL10312	Q6IT96	Q6IT96_HUMAN	kegg
HMSL10313			
HMSL10314			
HMSL10315			
HMSL10316			
HMSL10317			
HMSL10318			
HMSL10319			
HMSL10320			
HMSL10321			
HMSL10322			
HMSL10323			
HMSL10324			
HMSL10325			
HMSL10326	P21397	AOFA_HUMAN	kegg
HMSL10326	Q49A63	Q49A63_HUMAN	kegg
HMSL10326	Q53YE7	Q53YE7_HUMAN	kegg
HMSL10326	P27338	AOFB_HUMAN	kegg
HMSL10327			
HMSL10328			
HMSL10329			
HMSL10331			
HMSL10332			
HMSL10333			
HMSL10334			
HMSL10335			
HMSL10337			
HMSL10338			
HMSL10339			
HMSL10343			
HMSL10344			
HMSL10345			
HMSL10346	P80404	GABT_HUMAN	kegg
HMSL10346	Q9P0X4	CAC1I_HUMAN	kegg
HMSL10346	O43497	CAC1G_HUMAN	kegg
HMSL10346	Q19QY8	Q19QY8_HUMAN	kegg
HMSL10346	Q19QY9	Q19QY9_HUMAN	kegg
